2018-07-25 08:56:46.103 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 6236 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 08:56:46.106 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 08:56:50.718 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.071 seconds (JVM running for 5.339)
2018-07-25 09:05:50.000 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 5920 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 09:05:50.006 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 09:05:54.824 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.311 seconds (JVM running for 5.72)
2018-07-25 09:14:59.864 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 9516 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 09:14:59.869 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 09:15:04.379 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 4.99 seconds (JVM running for 5.404)
2018-07-25 09:17:54.889 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 9508 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 09:17:54.894 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 09:17:59.611 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.204 seconds (JVM running for 5.623)
2018-07-25 09:32:33.391 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 7308 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 09:32:33.395 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 09:32:37.925 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 4.991 seconds (JVM running for 5.37)
2018-07-25 09:56:01.950 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 6464 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 09:56:01.955 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 09:56:06.514 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.033 seconds (JVM running for 5.416)
2018-07-25 10:01:50.813 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 6828 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 10:01:50.817 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 10:01:55.319 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 4.952 seconds (JVM running for 5.33)
2018-07-25 10:40:07.775 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 9404 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 10:40:07.780 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 10:40:12.567 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.275 seconds (JVM running for 5.706)
2018-07-25 10:49:28.909 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 6316 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 10:49:28.913 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 10:49:33.778 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.353 seconds (JVM running for 5.746)
2018-07-25 10:57:50.687 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 12084 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 10:57:50.691 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 10:57:55.325 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.107 seconds (JVM running for 5.497)
2018-07-25 14:12:46.015 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 11580 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 14:12:46.019 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 14:12:50.553 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.005 seconds (JVM running for 5.374)
2018-07-25 14:17:04.354 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 12692 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 14:17:04.358 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 14:17:08.944 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.043 seconds (JVM running for 5.444)
2018-07-25 16:18:21.274 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 12364 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 16:18:21.278 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 16:18:25.859 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.038 seconds (JVM running for 5.326)
2018-07-25 17:11:10.661 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 12816 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 17:11:10.666 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 17:11:15.217 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.002 seconds (JVM running for 5.278)
2018-07-25 17:16:43.272 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 8100 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 17:16:43.276 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 17:16:47.983 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.175 seconds (JVM running for 5.598)
2018-07-25 18:00:51.964 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 4460 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 18:00:51.969 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 18:00:56.546 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.054 seconds (JVM running for 5.436)
2018-07-25 18:10:25.889 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 12384 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 18:10:25.893 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 18:10:30.492 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.066 seconds (JVM running for 5.495)
2018-07-25 18:28:02.109 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 11580 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-25 18:28:02.114 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 18:28:06.690 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.027 seconds (JVM running for 5.45)
