2018-07-26 08:58:50.433 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 6168 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-26 08:58:50.439 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-26 08:58:55.194 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.236 seconds (JVM running for 5.629)
2018-07-26 09:16:09.060 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 6396 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-26 09:16:09.064 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-26 09:16:13.793 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.194 seconds (JVM running for 5.608)
2018-07-26 10:58:46.035 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 14124 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-26 10:58:46.040 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-26 10:58:50.789 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.221 seconds (JVM running for 5.633)
2018-07-26 11:11:40.022 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 14208 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-26 11:11:40.026 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-26 11:11:44.593 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.019 seconds (JVM running for 5.425)
2018-07-26 11:50:17.336 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 4044 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-26 11:50:17.341 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-26 11:50:22.116 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.251 seconds (JVM running for 5.541)
2018-07-26 11:55:26.272 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 1584 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-26 11:55:26.276 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-26 11:55:30.917 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarted - Started BossApplication in 5.113 seconds (JVM running for 5.4)
2018-07-26 13:29:39.933 logback [main] INFO  com.phone.erp.boss.BossApplication.logStarting - Starting BossApplication on HMJ with PID 9260 (F:\workspaces\trunk\wx-app\wx-app-boss\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-boss)
2018-07-26 13:29:39.936 logback [main] INFO  com.phone.erp.boss.BossApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
