2018-07-26 10:58:37.939 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarting - Starting CommonApplication on HMJ with PID 11408 (F:\workspaces\trunk\wx-app\wx-app-common\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-common)
2018-07-26 10:58:37.946 logback [main] INFO  c.phone.erp.common.CommonApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-26 10:58:42.232 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarted - Started CommonApplication in 4.765 seconds (JVM running for 5.171)
2018-07-26 11:01:02.421 logback [http-nio-8801-exec-1] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的openid: o_spV47Ck4JXV4pPfGBP902Aylv4
2018-07-26 11:01:02.436 logback [http-nio-8801-exec-1] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的签名: 1ea4077acea4d2ed4e7490205f915064721e241b
2018-07-26 11:01:02.436 logback [http-nio-8801-exec-1] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信参数的签名: 1ea4077acea4d2ed4e7490205f915064721e241b
2018-07-26 11:12:23.980 logback [http-nio-8801-exec-3] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的openid: o_spV47Ck4JXV4pPfGBP902Aylv4
2018-07-26 11:12:23.980 logback [http-nio-8801-exec-3] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的签名: bf3883fe8c8b32b4a117af50f5bf38cba7d197fc
2018-07-26 11:12:23.981 logback [http-nio-8801-exec-3] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信参数的签名: bf3883fe8c8b32b4a117af50f5bf38cba7d197fc
2018-07-26 11:16:26.961 logback [http-nio-8801-exec-6] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的openid: o_spV434mPC3PlkEwHPGHjk53EOI
2018-07-26 11:16:26.964 logback [http-nio-8801-exec-6] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的签名: 9b0bcec437b43affa6188d7ebaded3b83f4f7ea7
2018-07-26 11:16:26.965 logback [http-nio-8801-exec-6] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信参数的签名: 9b0bcec437b43affa6188d7ebaded3b83f4f7ea7
2018-07-26 11:26:01.894 logback [http-nio-8801-exec-7] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的openid: o_spV47Ck4JXV4pPfGBP902Aylv4
2018-07-26 11:26:01.897 logback [http-nio-8801-exec-7] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的签名: dad633ad3d7137f2f99b55b9cfe2262748b6271d
2018-07-26 11:26:01.898 logback [http-nio-8801-exec-7] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信参数的签名: dad633ad3d7137f2f99b55b9cfe2262748b6271d
2018-07-26 11:41:21.353 logback [http-nio-8801-exec-10] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的openid: o_spV434mPC3PlkEwHPGHjk53EOI
2018-07-26 11:41:21.353 logback [http-nio-8801-exec-10] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的签名: a600eed2d601651ffe3a29bf224186135cd62de8
2018-07-26 11:41:21.354 logback [http-nio-8801-exec-10] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信参数的签名: a600eed2d601651ffe3a29bf224186135cd62de8
